subdomain,ip
659e058fb1162ac34e47f342b9b2b5e3.usach.cl,158.170.64.210
academica3.usach.cl,158.170.66.27
academic-oup-com.ezproxy.usach.cl,158.170.10.44
accessengineeringlibrary-com.ezproxy.usach.cl,158.170.10.44
accessengineeringlibrary.com.ezproxy.usach.cl,158.170.10.44
accessmedicina.mhmedical.com.ezproxy.usach.cl,158.170.10.44
acreditacion2020.usach.cl,158.170.66.66
acreditacion-admision-qr.usach.cl,158.170.68.32
acreditacionpostgrado.usach.cl,158.170.64.68
acreditacionpregrado.usach.cl,158.170.64.78
acreditacion.usach.cl,158.170.64.150
activofijo.usach.cl,158.170.68.87
adela.usach.cl,158.170.10.63
adin.usach.cl,158.170.64.150
adminnpm66.usach.cl,158.170.66.99
adminnpm68.usach.cl,158.170.68.87
adminnpm69.usach.cl,158.170.69.11
adminnpm.usach.cl,158.170.10.193
admisionagenda-test.usach.cl,158.170.64.207
admisionagenda.usach.cl,158.170.64.207
admisiondimec.usach.cl,190.107.177.247
admision.ingenieria-industrial.usach.cl,20.62.9.25
admision.ingenieria.usach.cl,158.170.66.48
admision-mirror1.usach.cl,158.170.66.248
admision.usach.cl,158.170.64.154
admision-visitas.usach.cl,104.18.20.49
admision-visitas.usach.cl,104.18.21.49
adoc.dmcc.usach.cl,158.170.64.128
adquisiciones.udesantiago.cl,158.170.64.116
adquisiciones.usach.cl,158.170.64.113
agendabpe.sea.usach.cl,158.170.66.228
agroecologia.usach.cl,158.170.64.116
alderan.diinf.usach.cl,158.170.35.191
algebra1.dmcc.usach.cl,158.170.66.208
algebra2.dmcc.usach.cl,158.170.66.208
alumnifae.usach.cl,138.186.9.52
alumnos.diinf.usach.cl,158.170.35.166
analisisdac.usach.cl,158.170.66.44
analisisdeprocesos.usach.cl,158.170.66.115
apiapp.admision.usach.cl,158.170.64.209
api.dti.usach.cl,158.170.66.64
api-externa.usach.cl,158.170.64.58
api.firma-digital.usach.cl,158.170.10.33
api.geodesychile.usach.cl,158.170.66.148
api.gestion-postgrado.usach.cl,gestion-postgrado.usach.cl.
api.gestion-postgrado.usach.cl,158.170.66.64
apisai.usach.cl,158.170.10.102
api.segic.cl,158.170.69.11
apitrayectoria.usach.cl,158.170.66.37
appsmundosenior.citiaps.usach.cl,158.170.66.142
apps.webofknowledge.com.ezproxy.udesantiago.cl,158.170.10.44
apps.webofknowledge.com.ezproxy.usach.cl,158.170.10.44
appvincula.usach.cl,158.170.66.136
aprendepaiep.usach.cl,158.170.66.224
archivodga.usach.cl,158.170.66.26
archivopatrimonial.usach.cl,158.170.66.24
arquitecturacontemporaneaentierra.usach.cl,158.170.66.207
arquitectura.usach.cl,158.170.66.48
array.diinf.usach.cl,158.170.35.8
array.informatica.usach.cl,158.170.35.8
asambleaconstituyente.citiaps.usach.cl,158.170.66.112
asmedigitalcollection.asme.org.ezproxy.usach.cl,158.170.10.44
asmestandardscollection.org.ezproxy.usach.cl,158.170.10.44
asoacad.usach.cl,158.170.64.150
atiende.usach.cl,158.170.66.201
aularecords.usach.cl,158.170.66.48
aulavirtual2.educacion.usach.cl,158.170.66.58
aulavirtual.educacion.usach.cl,158.170.66.58
aulavirtual.usach.cl,158.170.64.46
autoevaluacion2019.usach.cl,158.170.64.150
aysana.citiaps.usach.cl,158.170.66.143
ayudantias.dmcc.usach.cl,158.170.64.128
backend2.citiaps.usach.cl,158.170.66.141
backend.firma-digital.usach.cl,158.170.10.33
baker.usach.cl,158.170.10.65
baker.usach.cl,158.170.10.58
baker.usach.cl,158.170.10.68
becas.atiende.usach.cl,158.170.68.56
beneficio-matricula.usach.cl,158.170.64.86
beneficios.sea.usach.cl,158.170.66.249
bepostulacionesvrae.usach.cl,158.170.66.22
bespin.diinf.usach.cl,158.170.35.169
bestpractice.bmj.com.ezproxy.usach.cl,158.170.10.44
biblioteca.usach.cl,158.170.64.150
biomat.usach.cl,158.170.80.27
biomedica.diinf.usach.cl,158.170.35.8
biomedica.informatica.usach.cl,158.170.35.8
bkd.ayllu.citiaps.usach.cl,158.170.66.122
blacpma.usach.cl,158.170.64.110
blearning.usach.cl,158.170.64.116
bogano.diinf.usach.cl,158.170.35.167
boletindepostgrado.usach.cl,158.170.64.150
boletin.segic.cl,158.170.64.110
brotescientificos.usach.cl,158.170.66.230
c3.usach.cl,158.170.66.194
cachorro2017.usach.cl,158.170.64.86
cachorrosfae.usach.cl,158.170.66.194
cade.usach.cl,158.170.68.56
cai.usach.cl,caiusach.cl.
cai.usach.cl,67.208.40.192
calculo1.dmcc.usach.cl,158.170.66.208
calculo2.dmcc.usach.cl,158.170.66.208
calculo3.dmcc.usach.cl,158.170.66.208
calidaddelaire.usach.cl,158.170.64.150
calidad.usach.cl,158.170.64.66
cambalache.usach.cl,158.170.64.150
cambioporvocacion.usach.cl,158.170.77.129
camposclinicosycentrosdepractica.usach.cl,158.170.68.31
campusseguro.usach.cl,158.170.66.67
campus.usach.cl,158.170.64.150
canaldedenuncias.usach.cl,158.170.66.237
canvas.usach.cl,158.170.64.150
capacitacion.segic.cl,158.170.66.153
capacitacion.std.usach.cl,158.170.66.59
capacitacion.usach.cl,158.170.66.207
capamoodle.segic.cl,158.170.64.221
capa.online.usach.cl,158.170.64.205
carreras.usach.cl,158.170.64.150
cavernoticon.citiaps.usach.cl,158.170.66.141
cba.usach.cl,158.170.64.150
cbio2020.usach.cl,158.170.80.27
cdfae-test.usach.cl,158.170.68.28
cdfing.usach.cl,158.170.11.66
cecomp.usach.cl,158.170.64.150
cecta.usach.cl,158.170.35.195
cef.usach.cl,158.170.66.101
cei.usach.cl,158.170.66.230
cem.usach.cl,158.170.64.150
cepec.usach.cl,158.170.64.150
cerronavia.citiaps.usach.cl,158.170.66.111
ceusllanquihue.usach.cl,158.170.64.150
cfk.usach.cl,158.170.66.32
cgem.usach.cl,158.170.64.110
charlas2021.usach.cl,158.170.66.153
chatadmision.usach.cl,158.170.68.63
chatadquisiciones.usach.cl,158.170.68.63
chatdenuncias.usach.cl,158.170.68.63
chatfondosolidario.usach.cl,158.170.68.63
checkmk.usach.cl,158.170.10.193
cibap.usach.cl,158.170.64.150
cices.usach.cl,158.170.66.94
cides.usach.cl,52.7.225.133
cide.usach.cl,158.170.64.150
ciescoop.usach.cl,158.170.66.194
ciet.usach.cl,138.186.9.52
ciheap.usach.cl,158.170.66.194
ciis.usach.cl,158.170.64.150
cimtt.usach.cl,158.170.66.32
cipp.usach.cl,158.170.66.207
citiaps1.diinf.usach.cl,158.170.35.87
citiaps.usach.cl,158.170.66.128
ciudadsur.citiaps.usach.cl,158.170.66.137
ciudadsur.usach.cl,158.170.66.92
cladhe6.usach.cl,158.170.66.194
cl.ezproxy.usach.cl,158.170.10.44
cli.usach.cl,158.170.64.204
cloud.segic.cl,158.170.66.22
com.ezproxy.usach.cl,158.170.10.44
congreso2021.usach.cl,158.170.64.150
consejouniversitario.usach.cl,158.170.66.237
consola.usach.cl,158.170.10.193
consprod.sai.usach.cl,158.170.68.57
consultaelectoral.usach.cl,158.170.66.176
contraloria.usach.cl,158.170.64.150
contraloriausach.cl,172.67.164.52
contraloriausach.cl,104.21.34.194
contratos.usach.cl,158.170.9.13
controlaccountability.usach.cl,158.170.64.150
coorcal3mbi.usach.cl,158.170.77.211
corelia.diinf.usach.cl,158.170.35.40
cpanel.ingenieriaindustrial-usach.cl,201.148.105.43
cpanel.smartcitylab-usach.cl,192.140.56.40
credencial-oauth.usach.cl,158.170.64.26
credencial.usach.cl,158.170.64.154
creditocomplementario.usach.cl,158.170.64.24
csalud.sea.usach.cl,158.170.68.91
csalud.usach.cl,158.170.64.116
csl.diinf.usach.cl,158.170.35.151
cslmg.diinf.usach.cl,158.170.35.151
cteo.usach.cl,158.170.64.150
cuentas2.segic.cl,158.170.10.193
cuentas2.usach.cl,158.170.10.193
cuentas-test.segic.cl,158.170.10.193
cui.segic.cl,158.170.10.67
cui-test.segic.cl,158.170.10.74
cuotabasica2.usach.cl,158.170.64.24
cuotabasica.usach.cl,158.170.64.24
cupos-directos.admision.usach.cl,158.170.64.207
cursoinvierno.usach.cl,158.170.66.176
cvirtual.usach.cl,uvirtual.usach.cl.
cvirtual.usach.cl,158.170.64.102
cye.usach.cl,158.170.64.150
dac.usach.cl,158.170.64.150
dagobah.diinf.usach.cl,158.170.35.8
datosadmision.dei.usach.cl,104.18.20.49
datosadmision.dei.usach.cl,104.18.21.49
datosqa.usach.cl,158.170.66.162
datos.usach.cl,158.170.66.118
dca.usach.cl,158.170.64.150
dciind.usach.cl,158.170.64.150
dcii.usach.cl,158.170.64.150
dcya.usach.cl,158.170.64.150
ddp.usach.cl,158.170.64.150
deai.usach.cl,158.170.66.14
debate.usach.cl,158.170.66.176
decytal.usach.cl,158.170.64.150
dei.usach.cl,158.170.66.237
delta.usach.cl,129.213.189.136
denunciascontraloria.usach.cl,158.170.66.199
denuncias.usach.cl,158.170.68.56
departamentodeportes.usach.cl,158.170.64.116
deploy.usach.cl,158.170.10.193
deptmeeting.diinf.usach.cl,158.170.35.27
dep.usach.cl,158.170.64.150
derecho.usach.cl,158.170.66.78
descubridor.usach.cl,usach.primo.exlibrisgroup.com.
descubridor.usach.cl,na06.primo.exlibrisgroup.com.
descubridor.usach.cl,216.147.212.98
despega.usach.cl,158.170.66.230
dev2.fing.usach.cl,158.170.11.13
dev2.sai.usach.cl,158.170.66.170
dev-api.dti.usach.cl,158.170.66.217
devaron.diinf.usach.cl,158.170.35.193
dev-back2.sai.usach.cl,158.170.66.170
dev-back.sai.usach.cl,158.170.66.170
dev.cdfing.usach.cl,158.170.11.16
dev.fing.usach.cl,158.170.11.12
dev.sai.usach.cl,158.170.66.170
dfii.usach.cl,158.170.77.129
dga.usach.cl,158.170.64.150
dgdedenuncias.usach.cl,158.170.68.26
dgpp.usach.cl,138.186.9.52
dgt.usach.cl,158.170.66.230
diagnosticos.usach.cl,158.170.64.106
dicyt.usach.cl,158.170.66.230
didactica.usach.cl,fisica.usach.cl.
didactica.usach.cl,158.170.64.150
die.usach.cl,158.170.66.216
digea.usach.cl,158.170.66.28
digeo.usach.cl,158.170.64.150
diinf.usach.cl,158.170.35.191
dimectst.usach.cl,158.170.66.144
dimec.usach.cl,158.170.66.144
dimerc.citiaps.usach.cl,158.170.66.135
dimin.usach.cl,158.170.66.213
dim.usach.cl,158.170.66.101
dinem.usach.cl,158.170.66.230
dipedi.usach.cl,158.170.66.194
diplomadoentecnicasanaliticas.usach.cl,158.170.64.154
diplomadoestadistica.usach.cl,158.170.66.208
diplomadorecursoshidricos.usach.cl,158.170.66.207
diplomadosidea.usach.cl,158.170.64.150
dipmad.usach.cl,158.170.68.33
diqb.usach.cl,158.170.80.226
diq.usach.cl,158.170.80.226
direcciondegenero.usach.cl,158.170.64.150
diseno.usach.cl,158.170.66.115
dmcc.usach.cl,158.170.77.212
doctamer.usach.cl,158.170.64.150
doctmat.dmcc.usach.cl,158.170.77.212
doctmat.usach.cl,fourier.usach.cl.
doctmat.usach.cl,158.170.66.208
doctoradoalimentos.usach.cl,158.170.64.150
doctoradoautomatica.usach.cl,158.170.66.216
doctorado.energiasostenible.usach.cl,158.170.66.216
doctoradoinnovacion.fing.usach.cl,158.170.14.11
doctorado-quimica.usach.cl,158.170.64.150
doi-org.ezproxy.usach.cl,158.170.10.44
dps.usach.cl,158.170.66.14
drii.usach.cl,158.170.64.150
drupal.usach.cl,158.170.64.116
dspace.usach.cl,158.170.68.85
dssee.usach.cl,158.170.64.150
dtg.usach.cl,158.170.66.223
dti.usach.cl,158.170.64.150
dtt.udesantiago.cl,158.170.64.116
dve.usach.cl,158.170.66.73
e2tech.usach.cl,158.170.66.216
easyappointments.usach.cl,158.170.64.234
eavirtual.arquitectura.usach.cl,158.170.66.107
ebookcentral-proquest-com.ezproxy.usach.cl,158.170.10.44
ecamp.usach.cl,158.170.66.14
ecdp.die.usach.cl,158.170.64.24
eciades.usach.cl,158.170.64.150
economiacircular.usach.cl,158.170.66.207
economia.usach.cl,158.170.66.194
ecuacionesymetodos.dmcc.usach.cl,158.170.66.208
ecuadif.dmcc.usach.cl,158.170.66.208
editorial.usach.cl,editorialusach.cl.
editorial.usach.cl,192.140.57.30
educacioncontinua.usach.cl,158.170.66.79
educacion.usach.cl,158.170.64.150
educadoreslideres.usach.cl,158.170.64.150
educofacimed.usach.cl,162.240.146.170
educofahu.usach.cl,158.170.66.145
educo.usach.cl,158.170.64.171
efing-dev.usach.cl,158.170.66.45
efing-qa.usach.cl,158.170.66.31
egresadoscpa.usach.cl,158.170.66.194
egresadosindustria.usach.cl,158.170.64.24
egresadospedagogiaqyb.usach.cl,158.170.64.150
egresados.usach.cl,158.170.66.73
eicsr.usach.cl,158.170.64.150
elapdis.usach.cl,hosting.usach.cl.
elapdis.usach.cl,158.170.64.24
elearning.cai.usach.cl,158.170.66.140
elecciones2022.usach.cl,158.170.64.150
elecciones-comision-genero-y-diversidad.usach.cl,158.170.64.150
eleccionrector.usach.cl,158.170.64.150
elibro-net.ezproxy.usach.cl,158.170.10.44
emergencias.citiaps.usach.cl,158.170.66.128
emergencias.usach.cl,158.170.66.128
empleosfachuma.usach.cl,tbjdns.trabajando.com.
empleosfachuma.usach.cl,35.175.100.24
empleosfactec.usach.cl,tbjdns_cl_npp.trabajando.com.
empleosfactec.usach.cl,35.175.100.24
empresas.empleosfactec.usach.cl,empresas.usach.cl.
empresas.empleosfactec.usach.cl,tbjdns_cl_tbj.trabajando.com.
empresas.empleosfactec.usach.cl,35.175.100.24
empresas.usach.cl,tbjdns_cl_tbj.trabajando.com.
empresas.usach.cl,35.175.100.24
empresasyfundaciones.usach.cl,158.170.66.207
enacot2.usach.cl,158.170.64.116
enciclo.mienciclo.com.ezproxy.usach.cl,158.170.10.44
encuesta2030.usach.cl,158.170.64.64
encuestadocente.usach.cl,158.170.66.176
encuestapostgrado.usach.cl,158.170.66.111
encuestas.udesantiago.cl,158.170.64.24
encuestas.usach.cl,158.170.64.24
encuestasuseso.usach.cl,158.170.66.176
encuesta_universita.usach.cl,encuesta.universita.usach.cl.
encuesta_universita.usach.cl,158.170.64.24
endfisica.usach.cl,158.170.64.116
endor.diinf.usach.cl,158.170.35.195
enfermeria.usach.cl,158.170.64.101
enlinea.usach.cl,158.170.64.116
ensayospdt.usach.cl,158.170.64.150
en.usach.cl,158.170.64.116
enzal2019.usach.cl,158.170.64.150
epubs.siam.org.ezproxy.usach.cl,158.170.10.44
erp.usach.cl,158.170.68.87
es.bestpractice.bmj.com.ezproxy.usach.cl,158.170.10.44
escuelasmassaludables.usach.cl,158.170.66.92
escuelas.usach.cl,158.170.66.92
especialistas.usach.cl,158.170.66.73
espera.usach.cl,104.18.20.49
espera.usach.cl,104.18.21.49
esus.usach.cl,158.170.64.150
eureka.usach.cl,158.170.64.150
evaluaciondocente.usach.cl,158.170.64.106
evaluacion.usach.cl,158.170.64.106
eva.usach.cl,158.170.66.73
evic2018.diinf.usach.cl,158.170.35.8
evic2018.informatica.usach.cl,158.170.35.8
evic2018.usach.cl,158.170.35.8
evic.diinf.usach.cl,158.170.35.8
evic.informatica.usach.cl,158.170.35.8
expedientealumnosingenieria.usach.cl,158.170.64.139
expedienterrhh2.usach.cl,158.170.64.139
expedienterrhh.usach.cl,158.170.64.139
expotecno.usach.cl,158.170.64.24
extension.usach.cl,158.170.66.48
eyesfood.diinf.usach.cl,158.170.35.17
ezproxy.udesantiago.cl,158.170.10.44
ezproxy.usach.cl,158.170.10.44
factec.usach.cl,158.170.64.150
facultadtecnologica.usach.cl,158.170.64.150
fae.usach.cl,158.170.66.194
fahu2.usach.cl,158.170.66.123
fahu.usach.cl,158.170.66.123
fciencia.usach.cl,158.170.64.150
fcm.usach.cl,158.170.64.150
felucia.diinf.usach.cl,158.170.35.196
ferialaboral.usach.cl,ns.reqlut.com.
ferialaboral.usach.cl,13.216.95.52
ffroemel.usach.cl,158.170.66.14
fichafuncionario.usach.cl,158.170.66.233
fid.usach.cl,158.170.64.150
filoadmin.usach.cl,158.170.64.152
filosofia.usach.cl,158.170.64.150
fima.usach.cl,158.170.66.101
finginternacional.usach.cl,158.170.64.150
fing-test.usach.cl,158.170.66.237
fing.usach.cl,www.fing.usach.cl.
fing.usach.cl,158.170.66.237
firmaclaveunica.usach.cl,158.170.68.86
firma-digital.usach.cl,158.170.10.33
firmagob.usach.cl,158.170.66.64
firmausach-dev.usach.cl,158.170.68.81
fisica.postgrado.usach.cl,158.170.64.150
fisica.usach.cl,158.170.64.150
fjta.usach.cl,158.170.64.24
flagtec.usach.cl,158.170.64.24
fmoreno.usach.cl,158.170.66.101
fondocredito.usach.cl,158.170.64.33
fondo.vime.usach.cl,158.170.66.73
fonetica.usach.cl,158.170.64.150
formaciondocente.vra.usach.cl,158.170.64.106
formulario.usach.cl,158.170.64.58
fourier.usach.cl,158.170.66.208
fqyb-doctorado-biotecnologia.usach.cl,158.170.64.150
fqyb-doctorado-neurociencia.usach.cl,158.170.66.48
fqyb-magister-quimica.usach.cl,158.170.66.48
frontend.citiaps.usach.cl,158.170.66.105
fudea.usach.cl,198.49.23.145
fudea.usach.cl,198.185.159.144
fudea.usach.cl,198.185.159.145
fudea.usach.cl,198.49.23.144
fude.online.usach.cl,158.170.64.205
fude.usach.cl,158.170.66.14
funcionarios.usach.cl,158.170.66.156
gafevol.usach.cl,158.170.66.208
gdcm.usach.cl,158.170.11.24
gdrc.fing.usach.cl,158.170.11.35
geodesychile.usach.cl,158.170.66.148
geogebra.usach.cl,fourier.usach.cl.
geogebra.usach.cl,158.170.66.208
geoingenieria.usach.cl,158.170.64.150
gepeci.usach.cl,158.170.66.208
gestion2030.usach.cl,158.170.64.65
gestion-postgrado.usach.cl,158.170.66.64
gestionresiduos.usach.cl,158.170.64.150
git.segic.cl,158.170.64.35
gloriacardenasjiron.usach.cl,158.170.64.150
grin.fing.usach.cl,158.170.10.184
guiaweb.usach.cl,158.170.64.150
hbcponline.com.ezproxy.usach.cl,158.170.10.44
hectorchavez.usach.cl,158.170.64.116
